id,name,year
10207,Актёрское искусство,2018
8077,Живопись,2016
12841,Художник кино и телевидения,2021
10285,Художник кино и телевидения,2018
13856,Художник кино и телевидения по костюму,2022
12262,Художник кино и телевидения по костюму,2020
10918,Художник мультипликационного фильма,2019
8505,Художник мультипликационного фильма,2016
14010,Археология,2022
12954,Археология,2021
12044,Археология,2020
11259,Археология,2019
9575,Археология,2018
13872,История,2022
12863,История,2021
11904,История,2020
11225,История,2019
10041,История,2018
13881,История искусств,2022
12875,История искусств,2021
11915,История искусств,2020
11309,История искусств,2019
10043,История искусств,2018
13998,Россиеведение,2022
12950,Россиеведение,2021
11853,Россиеведение,2020
13643,"Охранная археология и сохранение объектов культурного наследия: правовое регулирование, проектирование и производство археологических исследований при реализации инфраструктурных, строительных и реставрационных проектов",2021
14528,Управление музейными фондами,2022
14526,История для школьников старших классов,2022
13638,История для школьников старших классов,2021
13636,История для школьников старших классов (четырёхмесячный курс),2021
13639,Обществознание для школьников старших классов,2021
13920,Искусствоведение (история искусств),2022
13033,Искусствоведение (история искусств),2021
12135,Искусствоведение (история искусств),2020
13220,Историко-культурное экскурсоведение,2021
13144,История и культура Санкт-Петербурга и Ленинградской области,2021
13979,История и теория наций и проблемы национализма,2022
13116,История и теория наций и проблемы национализма,2021
12203,История и теория наций и проблемы национализма,2020
14107,История Российской цивилизации,2022
13221,История Российской цивилизации,2021
12273,История Российской цивилизации,2020
13222,Модернизация Запада: XVI - XXI века,2021
13963,Музейное кураторство,2022
13101,Музейное кураторство,2021
12187,Музейное кураторство,2020
13997,Регионоведение России,2022
13131,Регионоведение России,2021
12214,Регионоведение России,2020
14109,Россия в войнах и социальных конфликтах,2022
13223,Россия в войнах и социальных конфликтах,2021
12275,Россия в войнах и социальных конфликтах,2020
14071,Россия и Франция в пространстве истории и культуры /La Russie et la France dans l'espace de l'histoire et de la culture,2022
13197,Россия и Франция в пространстве истории и культуры /La Russie et la France dans l'espace de l'histoire et de la culture,2021
12253,Россия и Франция в пространстве истории и культуры /La Russie et la France dans l'espace de l'histoire et de la culture,2020
13999,Становление современной западной цивилизации,2022
13132,Становление современной западной цивилизации,2021
12215,Становление современной западной цивилизации,2020
14000,Этнологическая экспертиза,2022
13133,Этнологическая экспертиза,2021
12216,Этнологическая экспертиза,2020
12925,История,2021
12005,История,2020
10970,История,2019
12929,История искусства,2021
12009,История искусства,2020
11003,История искусства,2019
14921,Нейролингвистика,2022
13943,Когнитивные исследования,2022
13055,Когнитивные исследования,2021
12149,Когнитивные исследования,2020
13833,Математика,2022
12844,Математика,2021
11885,Математика,2020
11226,Математика,2019
10006,Математика,2018
12067,"Математика, алгоритмы и анализ данных",2020
12985,Науки о данных,2021
12975,Современное программирование,2021
11282,Современное программирование,2019
12983,Современная математика,2021
13857,Mathematics and Artificial Intelligence / Математика и искусственный интеллект,2022
12978,Mathematics and Artificial Intelligence / Математика и искусственный интеллект,2021
12084,Mathematics and Artificial Intelligence / Математика и искусственный интеллект,2020
13847,Математика и компьютерные науки,2022
12890,Математика и компьютерные науки,2021
11930,Математика и компьютерные науки,2020
11250,Математика и компьютерные науки,2019
9986,Математика и компьютерные науки,2018
9988,Математическое обеспечение и администрирование информационных систем,2018
12847,Прикладная математика и информатика,2021
11888,Прикладная математика и информатика,2020
13861,"Прикладная математика, программирование и искусственный интеллект",2022
13895,Программная инженерия,2022
11929,Программная инженерия,2020
11096,Программная инженерия,2019
9989,Программная инженерия,2018
12979,Технологии программирования,2021
14510,Математическое обеспечение и администрирование информационных систем,2022
14889,Основы практической робототехники и искусственного интеллекта,2022
13345,Основы программирования на языке С/С++,2021
14838,Подготовительные курсы по математике,2022
13332,Подготовительные курсы по математике,2021
13335,Подготовительные курсы по физике (ЕГЭ),2021
14520,Подготовка к ЕГЭ по русскому языку (интенсив),2022
13346,Подготовка к ЕГЭ по русскому языку (интенсив),2021
14025,Advanced Mechanics and Modeling / Современная механика и моделирование,2022
13154,Advanced Mechanics and Modeling / Современная механика и моделирование,2021
13143,"Математическое моделирование, программирование и искусственный интеллект",2021
13966,Математическое обеспечение и администрирование информационных систем,2022
11970,Математическое обеспечение и администрирование информационных систем,2020
13967,Программная инженерия,2022
13105,Программная инженерия,2021
11971,Программная инженерия,2020
12910,Информатика,2021
11990,Информатика,2020
10941,Информатика,2019
10274,Информатика,2018
12984,Математическая робототехника и искусственный интеллект,2021
12897,Механика,2021
11977,Механика,2020
10919,Механика,2019
10257,Механика,2018
13849,Фундаментальная математика,2022
12839,Фундаментальная математика,2021
12201,Фундаментальная математика,2020
10984,Фундаментальная математика,2019
10226,Фундаментальная математика,2018
9306,Фундаментальная математика,2017
13381,"BI RADS: маммография, МРТ и УЗИ",2021
14507,Аллергология для гастроэнтерологов,2022
13455,Аллергология для гастроэнтерологов,2021
14860,Анализ данных холтеровского мониторирования ЭКГ у больных с брадиаритмиями и блокадами сердца,2022
14752,Ведение больных с имплантированными устройствами в практике кардиолога и врача функциональной диагностики,2022
13682,Ведение больных с имплантированными устройствами в практике кардиолога и врача функциональной диагностики,2021
14808,Гастроэнтерология: аутоиммунные заболевания желудочно-кишечного тракта,2022
13399,Гастроэнтерология: аутоиммунные заболевания желудочно-кишечного тракта,2021
14747,"Диагностика и лечение желудочковых аритмий, профилактика внезапной сердечной смерти",2022
14948,Дифференциальная диагностика основных терапевтических синдромов,2022
14504,Заболевания вульвы и влагалища в амбулаторной гинекологической практике,2022
13677,Заболевания вульвы и влагалища в амбулаторной гинекологической практике,2021
13433,Заболевания органов пищеварения у беременных,2021
15570,Инновационные методы диагностики и лечения атеросклероза,2022
13702,Современные технологии в абдоминальной хирургии,2021
11285,"Математика, алгоритмы и анализ данных",2019
13859,Науки о данных,2022
13855,Современное программирование,2022
12069,Современное программирование,2020
13596,Разработка программного обеспечения и науки о данных,2022
14073,Современная математика,2022
13199,Современная математика,2021
12079,Современная математика,2020
11295,Математическое обеспечение и администрирование информационных систем,2019
13836,Механика и математическое моделирование,2022
12849,Механика и математическое моделирование,2021
11890,Механика и математическое моделирование,2020
11315,Механика и математическое моделирование,2019
9990,Механика и математическое моделирование,2018
11094,Прикладная математика и информатика,2019
10017,Прикладная математика и информатика,2018
12889,Программная инженерия,2021
13858,Технологии программирования,2022
12085,Технологии программирования,2020
13331,Математическое обеспечение и администрирование информационных систем,2021
12517,Математическое обеспечение и администрирование информационных систем,2020
13336,Олимпиадные задачи по математике,2021
14839,Подготовительные курсы по информатике,2022
13334,Подготовительные курсы по информатике,2021
14511,Подготовительные курсы по русскому языку,2022
13333,Подготовительные курсы по русскому языку,2021
13340,Подготовительные курсы по физике для 10 класса,2021
14514,Решение задач ЕГЭ по информатике  повышенного уровня сложности,2022
13338,Решение задач профильного ЕГЭ по математике повышенного уровня сложности,2021
13811,Искусственный интеллект и наука о данных,2022
14012,"Математическое моделирование, программирование и искусственный интеллект",2022
11325,"Математическое моделирование, программирование и искусственный интеллект",2020
13104,Математическое обеспечение и администрирование информационных систем,2021
13898,Механика и математическое моделирование,2022
13008,Механика и математическое моделирование,2021
11934,Механика и математическое моделирование,2020
12899,Астрономия,2021
11979,Астрономия,2020
10965,Астрономия,2019
10278,Астрономия,2018
12894,Математика,2021
11974,Математика,2020
10931,Математика,2019
10302,Математика,2018
13839,Астрономия,2022
12834,Астрономия,2021
12117,Астрономия,2020
10989,Астрономия,2019
10183,Астрономия,2018
9307,Астрономия,2017
8091,Астрономия,2016
13850,Фундаментальная механика,2022
12840,Фундаментальная механика,2021
12202,Фундаментальная механика,2020
10967,Фундаментальная механика,2019
10178,Фундаментальная механика,2018
9302,Фундаментальная механика,2017
14768,Абдоминальное ультразвуковое исследование в хирургической практике,2022
15013,Актуальные вопросы амбулаторного ведения пациентов с мочекаменной болезнью,2022
14907,Актуальные вопросы кардиологии,2022
14959,Актуальные вопросы современной урологии,2022
15594,Актуальные проблемы анестезиологии и реаниматологии,2022
14829,Алкогольные поражения органов желудочно-кишечного тракта,2022
13521,Алкогольные поражения органов желудочно-кишечного тракта,2021
14740,Анализ данных холтеровского мониторирования у больных с электрокардиостимуляторами,2022
13688,Анализ данных холтеровского мониторирования у больных с электрокардиостимуляторами,2021
14756,Анализ данных холтеровского мониторирования ЭКГ у больных с фибрилляцией и трепетанием предсердий,2022
14256,Анализ данных холтеровского мониторирования ЭКГ у больных с фибрилляцией и трепетанием предсердий,2021
14902,Вирусные инфекции в медицинской практике,2022
13598,Вирусные инфекции в медицинской практике,2021
13436,Гастроэнтерология: заболевания поджелудочной железы,2021
14266,Заболевания миокарда и сердечная недостаточность,2021
14503,Заболевания шейки матки в амбулаторной гинекологической практике,2022
13676,Заболевания шейки матки в амбулаторной гинекологической практике,2021
14831,Канцеропревенция в гастроэнтерологии,2022
14944,Кардиология,2022
14960,Клиническая электрокардиография,2022
